global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
190,0,F,UP,-0.1399999999999998,"(2, 1)","(4, 0)",1,1,0
191,0,M,RIGHT,0.24000000000000013,"(2, 1)","(4, 1)",1,1,0
192,0,F,WAIT,0.040000000000000216,"(2, 1)","(4, 1)",1,1,0
193,0,M,WAIT,0.0200000000000001,"(2, 1)","(4, 1)",1,1,0
194,0,F,WAIT,0.040000000000000216,"(2, 1)","(4, 1)",1,1,0
195,0,M,RIGHT,0.23000000000000018,"(2, 1)","(4, 2)",1,1,0
196,0,F,LEFT,-0.13,"(2, 0)","(4, 2)",1,1,0
197,0,M,LEFT,-0.1599999999999999,"(2, 0)","(4, 1)",1,1,0
198,0,F,WAIT,0.05,"(2, 0)","(4, 1)",1,1,0
199,0,M,UP,-0.14999999999999994,"(2, 0)","(3, 1)",1,1,0
200,0,F,UP,-0.11999999999999986,"(1, 0)","(3, 1)",1,1,0
201,0,M,RIGHT,0.24000000000000013,"(1, 0)","(3, 2)",1,1,0
202,0,F,DOWN,0.27,"(2, 0)","(3, 2)",1,1,0
203,0,M,RIGHT,0.23000000000000018,"(2, 0)","(3, 3)",1,1,0
204,0,F,RIGHT,0.26000000000000023,"(2, 1)","(3, 3)",1,1,0
205,0,M,LEFT,-0.1599999999999999,"(2, 1)","(3, 2)",1,1,0
206,0,F,LEFT,-0.13,"(2, 0)","(3, 2)",1,1,0
207,0,M,UP,-0.14999999999999994,"(2, 0)","(2, 2)",1,1,0
208,0,F,UP,-0.11999999999999986,"(1, 0)","(2, 2)",1,1,0
209,0,M,LEFT,-0.1399999999999998,"(1, 0)","(2, 1)",1,1,0
210,0,F,RIGHT,0.27,"(1, 1)","(2, 1)",1,1,0
211,0,M,WAIT,0.040000000000000216,"(1, 1)","(2, 1)",1,1,0
212,0,F,LEFT,-0.11999999999999986,"(1, 0)","(2, 1)",1,1,0
213,0,M,RIGHT,0.2500000000000001,"(1, 0)","(2, 2)",1,1,0
214,0,F,RIGHT,0.27,"(1, 1)","(2, 2)",1,1,0
215,0,M,UP,-0.1399999999999998,"(1, 1)","(1, 2)",1,1,0
216,0,F,WAIT,0.05,"(1, 1)","(1, 2)",1,1,0
217,0,M,DOWN,0.2500000000000001,"(1, 1)","(2, 2)",1,1,0
218,0,F,DOWN,0.26000000000000023,"(2, 1)","(2, 2)",1,1,0
219,0,M,DOWN,0.24000000000000013,"(2, 1)","(3, 2)",1,1,0
220,0,F,RIGHT,0.2500000000000001,"(2, 2)","(3, 2)",1,1,0
221,0,M,LEFT,-0.14999999999999994,"(2, 2)","(3, 1)",1,1,0
222,0,F,UP,-0.1399999999999998,"(1, 2)","(3, 1)",1,1,0
223,0,M,LEFT,-0.1399999999999998,"(1, 2)","(3, 0)",1,1,0
224,0,F,WAIT,0.040000000000000216,"(1, 2)","(3, 0)",1,1,0
225,0,M,WAIT,0.040000000000000216,"(1, 2)","(3, 0)",1,1,0
226,0,F,LEFT,-0.13,"(1, 1)","(3, 0)",1,1,0
227,0,M,UP,-0.13,"(1, 1)","(2, 0)",1,1,0
228,0,F,DOWN,0.26000000000000023,"(2, 1)","(2, 0)",1,1,0
229,0,M,DOWN,0.26000000000000023,"(2, 1)","(3, 0)",1,1,0
230,0,F,UP,-0.13,"(1, 1)","(3, 0)",1,1,0
231,0,M,DOWN,0.2500000000000001,"(1, 1)","(4, 0)",1,1,0
232,0,F,LEFT,-0.11999999999999986,"(1, 0)","(4, 0)",1,1,0
233,0,M,DOWN,0.24000000000000013,"(1, 0)","(5, 0)",1,1,0
