global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
191,0,M,WAIT,0.01000000000000014,"(2, 6)","(5, 6)",1,0,0
192,0,F,RIGHT,0.2000000000000001,"(2, 7)","(5, 6)",1,0,0
193,0,M,LEFT,0.22,"(2, 7)","(5, 5)",1,0,0
194,0,F,WAIT,-0.01999999999999993,"(2, 7)","(5, 5)",1,0,0
195,0,M,RIGHT,-0.16999999999999987,"(2, 7)","(5, 6)",1,0,0
196,0,F,LEFT,-0.18999999999999997,"(2, 6)","(5, 6)",1,0,0
197,0,M,UP,-0.1599999999999999,"(2, 6)","(4, 6)",1,0,0
198,0,F,UP,-0.18000000000000002,"(1, 6)","(4, 6)",1,0,0
199,0,M,DOWN,0.23000000000000018,"(1, 6)","(5, 6)",1,0,0
200,0,F,UP,-0.16999999999999987,"(0, 6)","(5, 6)",1,0,0
201,0,M,RIGHT,-0.1599999999999999,"(0, 6)","(5, 7)",1,0,0
202,0,F,LEFT,-0.1599999999999999,"(0, 5)","(5, 7)",1,0,0
203,0,M,WAIT,0.0200000000000001,"(0, 5)","(5, 7)",1,0,0
204,0,F,LEFT,-0.14999999999999994,"(0, 4)","(5, 7)",1,0,0
205,0,M,LEFT,0.23000000000000018,"(0, 4)","(5, 6)",1,0,0
206,0,F,WAIT,0.03000000000000007,"(0, 4)","(5, 6)",1,0,0
207,0,M,WAIT,0.01000000000000014,"(0, 4)","(5, 6)",1,0,0
208,0,F,DOWN,0.24000000000000013,"(1, 4)","(5, 6)",1,0,0
209,0,M,WAIT,0.01000000000000014,"(1, 4)","(5, 6)",1,0,0
210,0,F,UP,-0.14999999999999994,"(0, 4)","(5, 6)",1,0,0
211,0,M,WAIT,0.01000000000000014,"(0, 4)","(5, 6)",1,0,0
212,0,F,DOWN,0.24000000000000013,"(1, 4)","(5, 6)",1,0,0
213,0,M,LEFT,0.22,"(1, 4)","(5, 5)",1,0,0
214,0,F,RIGHT,0.23000000000000018,"(1, 5)","(5, 5)",1,0,0
215,0,M,LEFT,0.21000000000000005,"(1, 5)","(5, 4)",1,0,0
216,0,F,LEFT,-0.1599999999999999,"(1, 4)","(5, 4)",1,0,0
217,0,M,LEFT,0.2000000000000001,"(1, 4)","(5, 3)",1,0,0
218,0,F,RIGHT,0.23000000000000018,"(1, 5)","(5, 3)",1,0,0
219,0,M,RIGHT,-0.18999999999999997,"(1, 5)","(5, 4)",1,0,0
220,0,F,DOWN,0.22,"(2, 5)","(5, 4)",1,0,0
221,0,M,RIGHT,-0.18000000000000002,"(2, 5)","(5, 5)",1,0,0
222,0,F,RIGHT,0.21000000000000005,"(2, 6)","(5, 5)",1,0,0
223,0,M,WAIT,0.0,"(2, 6)","(5, 5)",1,0,0
224,0,F,LEFT,-0.18000000000000002,"(2, 5)","(5, 5)",1,0,0
225,0,M,RIGHT,-0.16999999999999987,"(2, 5)","(5, 6)",1,0,0
226,0,F,DOWN,0.21000000000000005,"(3, 5)","(5, 6)",1,0,0
227,0,M,UP,-0.1599999999999999,"(3, 5)","(4, 6)",1,0,0
228,0,F,WAIT,-0.009999999999999967,"(3, 5)","(4, 6)",1,0,0
229,0,M,DOWN,0.23000000000000018,"(3, 5)","(5, 6)",1,0,0
230,0,F,RIGHT,0.2000000000000001,"(3, 6)","(5, 6)",1,0,0
231,0,M,UP,-0.1599999999999999,"(3, 6)","(4, 6)",1,0,0
232,0,F,RIGHT,0.19000000000000003,"(3, 7)","(4, 6)",1,0,0
233,0,M,LEFT,0.23000000000000018,"(3, 7)","(4, 5)",1,0,0
234,0,F,DOWN,0.18000000000000002,"(4, 7)","(4, 5)",1,0,0
235,0,M,DOWN,0.22,"(4, 7)","(5, 5)",1,0,0
236,0,F,WAIT,-0.039999999999999994,"(4, 7)","(5, 5)",1,0,0
237,0,M,WAIT,0.0,"(4, 7)","(5, 5)",1,0,0
238,0,F,LEFT,-0.21,"(4, 6)","(5, 5)",1,0,0
239,0,M,LEFT,0.21000000000000005,"(4, 6)","(5, 4)",1,0,0
240,0,F,WAIT,-0.029999999999999985,"(4, 6)","(5, 4)",1,0,0
241,0,M,WAIT,-0.009999999999999967,"(4, 6)","(5, 4)",1,0,0
242,0,F,RIGHT,0.18000000000000002,"(4, 7)","(5, 4)",1,0,0
243,0,M,LEFT,0.2000000000000001,"(4, 7)","(5, 3)",1,0,0
244,0,F,UP,-0.21,"(3, 7)","(5, 3)",1,0,0
245,0,M,LEFT,0.19000000000000003,"(3, 7)","(5, 2)",1,0,0
246,0,F,WAIT,-0.029999999999999985,"(3, 7)","(5, 2)",1,0,0
247,0,M,RIGHT,-0.19999999999999993,"(3, 7)","(5, 3)",1,0,0
248,0,F,DOWN,0.18000000000000002,"(4, 7)","(5, 3)",1,0,0
249,0,M,RIGHT,-0.18999999999999997,"(4, 7)","(5, 4)",1,0,0
250,0,F,LEFT,-0.21,"(4, 6)","(5, 4)",1,0,0
251,0,M,LEFT,0.2000000000000001,"(4, 6)","(5, 3)",1,0,0
252,0,F,UP,-0.19999999999999993,"(3, 6)","(5, 3)",1,0,0
253,0,M,WAIT,-0.01999999999999993,"(3, 6)","(5, 3)",1,0,0
254,0,F,UP,-0.18999999999999997,"(2, 6)","(5, 3)",1,0,0
255,0,M,WAIT,-0.01999999999999993,"(2, 6)","(5, 3)",1,0,0
256,0,F,DOWN,0.2000000000000001,"(3, 6)","(5, 3)",1,0,0
257,0,M,WAIT,-0.01999999999999993,"(3, 6)","(5, 3)",1,0,0
258,0,F,WAIT,-0.01999999999999993,"(3, 6)","(5, 3)",1,0,0
259,0,M,RIGHT,-0.18999999999999997,"(3, 6)","(5, 4)",1,0,0
260,0,F,RIGHT,0.19000000000000003,"(3, 7)","(5, 4)",1,0,0
261,0,M,WAIT,-0.009999999999999967,"(3, 7)","(5, 4)",1,0,0
262,0,F,UP,-0.19999999999999993,"(2, 7)","(5, 4)",1,0,0
263,0,M,LEFT,0.2000000000000001,"(2, 7)","(5, 3)",1,0,0
264,0,F,LEFT,-0.18999999999999997,"(2, 6)","(5, 3)",1,0,0
265,0,M,LEFT,0.19000000000000003,"(2, 6)","(5, 2)",1,0,0
266,0,F,LEFT,-0.18000000000000002,"(2, 5)","(5, 2)",1,0,0
267,0,M,UP,-0.19999999999999993,"(2, 5)","(4, 2)",1,0,0
268,0,F,DOWN,0.21000000000000005,"(3, 5)","(4, 2)",1,0,0
269,0,M,LEFT,0.19000000000000003,"(3, 5)","(4, 1)",1,0,0
270,0,F,UP,-0.18000000000000002,"(2, 5)","(4, 1)",1,0,0
271,0,M,RIGHT,-0.19999999999999993,"(2, 5)","(4, 2)",1,0,0
272,0,F,RIGHT,0.21000000000000005,"(2, 6)","(4, 2)",1,0,0
273,0,M,DOWN,0.19000000000000003,"(2, 6)","(5, 2)",1,0,0
274,0,F,UP,-0.18000000000000002,"(1, 6)","(5, 2)",1,0,0
275,0,M,LEFT,0.18000000000000002,"(1, 6)","(5, 1)",1,0,0
276,0,F,UP,-0.16999999999999987,"(0, 6)","(5, 1)",1,0,0
277,0,M,WAIT,-0.039999999999999994,"(0, 6)","(5, 1)",1,0,0
278,0,F,RIGHT,0.22,"(0, 7)","(5, 1)",1,0,0
279,0,M,LEFT,0.17,"(0, 7)","(5, 0)",1,0,0
